,time,Inv C: Rep G,Inv C : Rep T,Inv C : Rep C,Inv C : Rep A,Inv isoC : Rep G,Inv isoC: Rep T,Inv isoC: Rep C,Inv isoC: Rep A,Inv isoC : Rep isoG
802,48210,19.95073892,1.560755337,1.659277504,1.552545156,6.641215107,1.788998358,2.140394089,5.094417077,20.31471793
803,48270,20.2955665,1.74137931,1.188013136,1.36453202,6.572249589,1.430213465,2.28817734,5.459770115,20.2092712
804,48330,20.5500821,1.830049261,1.600164204,1.475369458,6.575533662,1.903940887,2.125615764,5.662561576,20.21129902
805,48390,20.33579639,1.848111658,1.483579639,1.619047619,6.6863711,1.578817734,1.896551724,5.637110016,20.08962972
806,48450,19.91871921,1.531198686,1.606732348,1.316912972,6.407224959,1.624794745,2.191297209,5.654351396,20.01460032
807,48510,20.18719212,1.857963875,1.899014778,1.638752053,6.511494253,1.609195402,2.016420361,5.643678161,20.04603155
808,48570,19.61083744,1.777504105,1.420361248,1.489326765,6.333333333,1.798029557,2.015599343,5.225779967,20.02879507
809,48630,20.12889984,2.0591133,1.450738916,1.371100164,6.958128079,1.444170772,2.016420361,5.798029557,20.0602263
810,48690,20.0410509,1.958128079,1.647783251,1.594417077,6.505747126,1.623152709,2.07635468,5.375205255,20.4242203
811,48750,19.48768473,1.788998358,1.628078818,1.910509031,6.591133005,1.807060755,2.217569787,5.466338259,20.47592976
812,48810,19.81198686,1.776683087,1.640394089,1.751231527,6.922003284,1.508210181,2.411330049,5.693760263,19.85034676
813,48870,19.95648604,1.862889984,1.138752053,1.581280788,6.581280788,1.435960591,2.363711002,5.981937603,19.69217666
814,48930,19.78817734,1.842364532,1.524630542,1.770935961,6.410509031,1.719211823,2.199507389,5.684729064,20.27821714
815,48990,19.66338259,1.71182266,1.563218391,1.55090312,6.875205255,1.321018062,2.141215107,5.958949097,20.50736099
816,49050,19.8226601,2.197865353,1.596059113,1.718390805,6.515599343,1.677339901,2.069786535,5.471264368,19.82195725
817,49110,19.40722496,1.936781609,1.458949097,1.473727422,6.47044335,1.778325123,2.695402299,5.833333333,19.36671128
818,49170,20.47126437,1.793924466,1.4408867,1.659277504,6.91543514,1.815270936,1.939244663,5.522988506,19.92436225
819,49230,20.14614122,1.853858785,1.285714286,1.483579639,6.946633826,1.894909688,2.246305419,5.876026273,20.58847386
820,49290,19.86124795,2.117405583,1.386699507,1.775041051,6.683908046,1.97454844,1.906403941,5.823481117,20.46883238
821,49350,19.89326765,1.761904762,1.672413793,1.554187192,6.15270936,1.54679803,2.245484401,5.778325123,19.86656933
822,49410,20.35303777,1.711001642,1.727422003,1.420361248,7.012315271,1.616584565,1.903119869,5.735632184,19.39408687
823,49470,19.8727422,2.191297209,1.516420361,1.539408867,6.34729064,1.832512315,2.253694581,5.443349754,20.13931135
824,49530,19.75287356,1.761083744,1.365353038,1.628078818,6.829228243,1.802134647,2.256978654,5.825123153,19.94362656
825,49590,20.06239737,1.742200328,1.349753695,1.836617406,6.926929392,1.609195402,2.100985222,5.636288998,20.17378432
826,49650,19.74794745,2.095238095,1.694581281,1.476190476,6.41543514,1.702791461,2.027093596,5.348932677,20.49519406
