,time,Inv C: Rep G,Inv T: Rep G,Inv G: Rep G,Inv A: Rep G,Inv C: Rep isoG,Inv T: Rep isoG,Inv G: Rep isoG,Inv A: Rep isoG
551,49590,19.77545976,2.231996984,1.148674123,0.7783502995,8.069205312,6.318126597,5.701478782,0.6752963847
552,49680,20.20024297,2.392861631,1.114322818,0.6526747937,8.570231662,5.5238574,6.000586486,0.3468643961
553,49770,20.27062126,2.415483222,1.497214193,0.3979724352,8.646474802,5.748397637,6.177370031,0.8034854007
554,49860,20.17594571,2.461564241,1.145322777,0.723053077,8.125340371,5.733316577,5.693100415,0.6392694064
555,49950,19.81232458,2.295672573,1.341376566,0.8721880106,8.082610699,5.869046123,5.79615433,0.9258095597
556,50040,19.72937874,2.464915588,1.662268024,1.077458003,8.338988731,6.187424071,5.567424909,0.5856478572
557,50130,19.96229735,2.681077458,1.001214863,0.9542960077,8.18147543,5.910937958,6.048343178,0.8277826652
558,50220,19.68162205,2.178375435,1.522349294,0.7800259729,8.547610071,6.16228897,5.765154371,0.5328641448
559,50310,19.83913535,2.743915211,1.256755058,0.7666205856,8.468015584,5.997235139,5.781073269,0.8571069499
560,50400,19.29956851,2.437266977,1.29948473,0.6979179758,8.098529597,5.486154748,5.781911106,0.5194587575
561,50490,19.53918981,2.556239789,1.376565707,0.7012693226,8.591177579,5.960370324,6.350802229,0.4306480667
562,50580,20.54291819,2.727158477,1.091701227,0.9660257216,8.472204767,6.16731599,5.886640694,0.8763771941
563,50670,19.9338109,2.28394286,1.36818734,1.025512128,8.46633991,6.31226174,5.52888442,0.5035398601
564,50760,20.08881069,2.018348624,1.619538352,0.8814042143,8.806501613,5.67383017,6.2360186,0.8939717649
565,50850,20.35943195,2.381969754,1.211511876,0.6719450379,8.932177119,5.968748691,5.652046416,0.7021071593
566,50940,19.85002723,2.644212643,1.295295547,0.8839177244,8.704285535,5.765992208,6.31728876,0.4323237401
567,51030,19.9338109,2.494239873,1.030539148,0.9241338863,8.439529136,6.008964853,5.869046123,0.9140798458
568,51120,19.72183821,2.313267144,1.50559256,0.8571069499,8.559339785,6.205856479,6.264505048,0.9894851493
569,51210,19.82237862,2.268861799,1.343052239,0.6535126304,8.5962046,5.977964895,5.847262369,0.7398098111
570,51300,20.49599933,2.235348331,1.347241423,0.9635122115,8.216664572,5.716559842,6.01985673,0.651836957
571,51390,20.13572955,2.397050815,1.255079385,0.8018097273,8.504042562,6.036613464,6.360856269,0.7247287504
572,51480,19.96816221,2.425537263,1.634619413,0.8068367475,9.137447112,5.897532571,5.698127435,1.003728373
573,51570,19.76205438,2.545347912,1.369025177,0.8696745004,8.89615014,6.08353232,5.799505676,0.702944996
574,51660,19.91118931,2.29902392,1.598592434,0.7481881781,8.489799338,6.204180805,6.52339659,0.4792425956
575,51750,19.63051401,2.722131457,1.411754849,1.091701227,8.483934481,6.054208035,6.24607264,0.5043776968
576,51840,19.78383813,2.206024046,1.543295212,0.8328096854,8.724393616,6.210883499,5.95869465,0.637593733
577,51930,20.17175652,2.712915253,1.79548406,0.9559716811,8.712663902,5.995559465,6.283775292,0.9065393155
578,52020,19.58443299,2.241213188,1.131917389,0.8101880943,8.509069582,5.858992082,6.143856562,0.5655397763
579,52110,19.91286498,2.306564451,1.314565791,0.8487285828,8.388421097,6.104478237,5.802019186,0.7490260148
580,52200,19.13535252,2.309915797,1.480457459,0.7339449541,8.636420762,5.997235139,5.795316493,0.7875665033
581,52290,19.41267647,2.247915881,1.327133342,1.082485024,8.273637468,6.055045872,6.313099577,0.4641615349
582,52380,20.00586486,2.345104939,1.28189016,0.8470529094,8.626366721,6.163964643,5.992208119,0.5680532864
583,52470,19.99916216,2.506807423,1.136106573,0.9333500901,9.061203971,6.215910519,6.401072431,0.7691340958
584,52560,19.70256797,2.390348121,1.282727996,0.9886473126,8.553474928,6.039126974,6.174018684,0.50102635
585,52650,19.90113527,2.530266851,1.179674082,0.5755938168,8.430312932,6.070126932,6.245234804,0.5638641029
586,52740,20.02094592,2.479158812,1.540781702,0.7967827071,8.731934146,5.817938084,5.9461271,0.4574588413
587,52830,20.54878304,2.409618365,1.107620125,0.9576473545,8.616312681,6.145532236,6.298856353,0.5688911231
588,52920,19.73105442,2.491726363,1.477943949,0.93083658,8.650663986,6.277072599,5.923505509,0.8721880106
589,53010,20.03351347,2.689455825,1.331322525,0.7733232793,8.806501613,5.885802857,6.117883624,0.6334045495
590,53100,20.10640526,2.547023585,1.314565791,0.8018097273,8.924636588,6.138829542,5.975451385,0.4742155754
591,53190,20.14494575,2.405429182,1.340538729,0.7406476478,8.96485275,5.703154455,5.904235265,0.5001885133
592,53280,20.27816179,2.614050522,1.282727996,0.7389719744,8.529177663,5.751748984,6.066775585,0.7641070755
593,53370,20.23459428,2.675212601,1.676511248,0.8194042981,8.689204474,6.247748314,5.983829752,0.509404717
594,53460,20.28737799,2.406267019,1.110971472,0.9811067823,8.922123078,6.205856479,6.127099828,0.486783126
595,53550,19.79640568,2.152402497,1.442754807,0.8571069499,8.452934523,5.833019145,6.248586151,0.6870260986
596,53640,19.96397302,2.519374974,1.43940346,0.9811067823,8.39261028,6.080180973,5.833856981,0.6736207113
597,53730,20.51610741,2.72129362,1.620376189,0.8981609484,8.846717775,5.769343555,6.120397135,0.9258095597
598,53820,20.44237778,2.463239915,1.477106112,0.8629718068,8.824096184,6.326504964,6.104478237,0.7272422605
599,53910,20.18097273,2.420510243,1.272673956,0.8076745842,8.838339408,6.291315823,6.354991412,0.7104855264
600,54000,19.3699468,2.495077709,1.08080935,0.7808638096,8.948933853,6.344099535,5.988018935,0.825269155
601,54090,20.10640526,2.516023627,1.124376859,1.06572829,8.911231201,6.456369654,6.096937707,0.4457291274
602,54180,20.12651334,2.398726488,1.608646475,0.702944996,9.10728499,5.807884043,5.530560094,0.7339449541
603,54270,19.93883792,2.473293955,1.353944116,1.086674207,8.708474718,5.994721629,5.804532697,0.5370533283
604,54360,19.60873026,2.805915127,1.261782079,0.9551338444,8.792258389,6.330694148,6.468937204,0.8562691131
605,54450,19.58275732,2.44145616,1.227430774,0.8101880943,8.82242051,6.277910435,6.499937162,0.939214947
606,54540,19.91035147,2.709563906,1.292782037,0.910728499,8.193205144,6.221775376,6.034099954,0.4884587994
607,54630,20.22035105,2.324996858,1.553349252,1.020485107,8.571069499,6.351640065,6.052532361,0.7146747099
608,54720,20.22705375,2.270537472,1.565916803,0.674458548,8.543420887,6.221775376,6.506639856,0.9869716392
609,54810,19.89024339,2.371077877,1.301998241,1.136106573,8.634745088,6.086883666,6.050856688,0.7431611579
610,54900,20.22789158,2.720455783,1.43940346,0.8830798877,8.380880566,6.108667421,6.207532152,0.7364584642
611,54990,20.5705668,2.705374722,1.603619455,0.8437015626,9.39717649,6.557747895,6.260315864,0.8579447866
612,55080,20.21783754,2.58640191,1.767835449,0.9609987014,8.95982573,6.221775376,6.068451259,0.7791881362
613,55170,19.98072976,2.516023627,1.467889908,0.9350257635,8.584474886,6.132126848,6.261991538,0.8403502157
614,55260,20.04775669,2.504293913,1.387457585,1.131079553,8.863474509,6.215072682,6.315613087,0.9015122953
615,55350,20.06116208,2.389510284,1.358971137,0.6409450798,9.073771522,6.473126388,6.51334255,0.873863684
616,55440,19.83662184,2.778266516,1.132755226,1.343890076,8.763771941,6.515018223,6.174018684,0.6300532026
617,55530,19.71262201,2.462402078,1.543295212,1.006241883,8.412718361,6.239369947,6.072640442,0.6124586318
618,55620,20.32508064,2.402915672,1.361484647,0.666080181,8.553474928,6.418667002,6.609693771,0.6183234888
619,55710,19.98659461,2.910644715,1.338025219,0.9953500063,9.193582171,6.545180344,6.540991161,0.8076745842
620,55800,20.35272925,2.633320766,1.546646559,0.9216203762,8.923798752,6.065937749,6.401910268,0.8889447447
621,55890,20.55967492,2.881320431,1.487160152,0.4918101462,8.906204181,6.571991119,6.191613255,0.9216203762
622,55980,20.14075657,2.468266935,1.224079427,0.8638096435,9.048636421,6.192451091,5.957856814,0.9132420091
623,56070,19.64224373,2.412131875,1.172133551,0.6468099367,8.865988019,6.173180847,6.277072599,0.9174311927
624,56160,20.32089146,2.477483139,1.248376691,0.8520799296,8.958150057,6.166478153,5.80369486,0.694566629
625,56250,20.06116208,2.841942105,1.313727954,0.7833773198,8.922123078,6.53093712,6.453856143,0.6434585899
626,56340,20.47505341,2.503456076,1.244187508,1.022998618,9.030204013,6.475639898,6.182397051,0.5404046751
627,56430,20.44321562,2.7162666,1.167106531,1.123539022,8.941393322,6.555234385,6.329018474,0.7666205856
628,56520,20.19102677,2.490888526,1.384106238,1.039755352,9.206987558,6.260315864,6.472288551,1.239160488
629,56610,20.11478363,2.536969545,1.354781953,1.231619957,8.74617737,6.336559005,6.765531398,0.8269448285
630,56700,19.26186586,2.501780403,1.710862553,1.030539148,8.674123413,6.209207825,6.688450421,0.4859452893
631,56790,20.21029701,2.696158519,1.416781869,0.9367014369,9.297473922,6.23350509,6.316450924,0.4934858196
632,56880,19.6941896,2.469942608,1.425998073,1.187214612,9.574797872,6.432072389,6.400234594,0.6308910393
633,56970,19.94805412,2.475807465,1.420133216,0.8512420929,8.930501445,6.182397051,6.416153492,0.4918101462
634,57060,20.19102677,2.654266683,1.565916803,1.173809225,9.127393071,6.060910728,6.778098949,0.688701772
